;power;timestamp;current;id;voltage;partial_energy;__collections__;modo
1747378110;9,6;2025-05-16 06:48:30;0,08;1747378110;121,22;0,1601;{};com_dimmer
1747378170;9,02;2025-05-16 06:49:30;0,07;1747378170;121,44;0,1503;{};com_dimmer
1747378230;10,81;2025-05-16 06:50:30;0,08;1747378230;139,76;0,1801;{};com_dimmer
1747378290;9,88;2025-05-16 06:51:30;0,07;1747378290;133,15;0,1646;{};com_dimmer
1747378350;1,04;2025-05-16 06:52:30;0,01;1747378350;127,34;0,0173;{};com_dimmer
1747378410;0,65;2025-05-16 06:53:30;0,01;1747378410;122,85;0,0108;{};com_dimmer
1747378470;0,53;2025-05-16 06:54:30;0,0;1747378470;129,4;0,0088;{};com_dimmer
1747378530;0,55;2025-05-16 06:55:30;0,0;1747378530;114,69;0,0092;{};com_dimmer
1747378710;4,73;2025-05-16 06:58:30;0,04;1747378710;116,96;0,0789;{};com_dimmer
1747378770;18,26;2025-05-16 06:59:30;0,13;1747378770;144,82;0,3043;{};com_dimmer
1747378830;14,67;2025-05-16 07:00:30;0,12;1747378830;125,19;0,2445;{};com_dimmer
1747378890;13,44;2025-05-16 07:01:30;0,12;1747378890;111,43;0,224;{};com_dimmer
1747378950;11,55;2025-05-16 07:02:30;0,1;1747378950;114,84;0,1925;{};com_dimmer
1747379010;13,76;2025-05-16 07:03:30;0,12;1747379010;116,81;0,2293;{};com_dimmer
1747379070;12,17;2025-05-16 07:04:30;0,11;1747379070;109,49;0,2028;{};com_dimmer
1747379130;12,17;2025-05-16 07:05:30;0,11;1747379130;111,23;0,2028;{};com_dimmer
1747379190;12,84;2025-05-16 07:06:30;0,11;1747379190;113,55;0,214;{};com_dimmer
1747379250;9,02;2025-05-16 07:07:30;0,08;1747379250;116,94;0,1504;{};com_dimmer
1747379310;8,45;2025-05-16 07:08:30;0,08;1747379310;110,97;0,1408;{};com_dimmer
1747379370;12,1;2025-05-16 07:09:30;0,11;1747379370;111,51;0,2017;{};com_dimmer
1747379430;11,92;2025-05-16 07:10:30;0,1;1747379430;115,92;0,1987;{};com_dimmer
1747379490;11,43;2025-05-16 07:11:30;0,1;1747379490;110,23;0,1905;{};com_dimmer
1747379550;11,52;2025-05-16 07:12:30;0,1;1747379550;114,09;0,192;{};com_dimmer
1747379610;0,0;2025-05-16 07:13:30;0,0;1747379610;118,52;0,0;{};com_dimmer
1747379670;0,0;2025-05-16 07:14:30;0,0;1747379670;123,1;0,0;{};com_dimmer
1747379730;0,0;2025-05-16 07:15:30;0,0;1747379730;119,74;0,0;{};com_dimmer
1747379790;0,0;2025-05-16 07:16:30;0,0;1747379790;107,7;0,0;{};com_dimmer
1747379850;1,06;2025-05-16 07:17:30;0,01;1747379850;115,55;0,0176;{};com_dimmer
1747379910;1,07;2025-05-16 07:18:30;0,01;1747379910;122,83;0,0179;{};com_dimmer
1747379970;0,4;2025-05-16 07:19:30;0,0;1747379970;133,24;0,0066;{};com_dimmer
1747380030;0,21;2025-05-16 07:20:30;0,0;1747380030;110,89;0,0035;{};com_dimmer
1747380090;0,49;2025-05-16 07:21:30;0,0;1747380090;123,46;0,0081;{};com_dimmer
1747380150;0,08;2025-05-16 07:22:30;0,0;1747380150;116,14;0,0013;{};com_dimmer
1747380210;0,19;2025-05-16 07:23:30;0,0;1747380210;119,65;0,0032;{};com_dimmer
1747380270;0,72;2025-05-16 07:24:30;0,01;1747380270;129,9;0,012;{};com_dimmer
1747380330;0,0;2025-05-16 07:25:30;0,0;1747380330;115,44;0,0;{};com_dimmer
1747380389;1,38;2025-05-16 07:26:29;0,01;1747380389;120,36;0,023;{};com_dimmer
1747380450;0,9;2025-05-16 07:27:30;0,01;1747380450;114,13;0,0151;{};com_dimmer
1747380509;0,82;2025-05-16 07:28:29;0,01;1747380509;115,73;0,0136;{};com_dimmer
1747380569;1,33;2025-05-16 07:29:29;0,01;1747380569;129,69;0,0221;{};com_dimmer
1747380734;5,7;2025-05-16 07:32:14;0,04;1747380734;126,95;0,095;{};com_dimmer
1747380794;5,27;2025-05-16 07:33:14;0,04;1747380794;117,9;0,0879;{};com_dimmer
1747380854;5,27;2025-05-16 07:34:14;0,05;1747380854;113,94;0,0878;{};com_dimmer
1747380914;5,62;2025-05-16 07:35:14;0,05;1747380914;117,71;0,0936;{};com_dimmer
1747380974;6,42;2025-05-16 07:36:14;0,05;1747380974;127,68;0,107;{};com_dimmer
1747381034;5,48;2025-05-16 07:37:14;0,05;1747381034;118,37;0,0914;{};com_dimmer
1747381094;5,66;2025-05-16 07:38:14;0,05;1747381094;118,2;0,0943;{};com_dimmer
1747381154;5,68;2025-05-16 07:39:14;0,05;1747381154;120,42;0,0946;{};com_dimmer
1747381214;5,44;2025-05-16 07:40:14;0,05;1747381214;119,24;0,0906;{};com_dimmer
1747381274;5,64;2025-05-16 07:41:14;0,05;1747381274;119,28;0,094;{};com_dimmer
1747381334;4,65;2025-05-16 07:42:14;0,04;1747381334;119,3;0,0775;{};com_dimmer
1747381394;4,82;2025-05-16 07:43:14;0,04;1747381394;117,75;0,0804;{};com_dimmer
1747381454;6,24;2025-05-16 07:44:14;0,04;1747381454;139,06;0,1041;{};com_dimmer
1747381514;5,21;2025-05-16 07:45:14;0,04;1747381514;124,1;0,0868;{};com_dimmer
1747381574;6,15;2025-05-16 07:46:14;0,05;1747381574;135,28;0,1025;{};com_dimmer
1747381634;4,73;2025-05-16 07:47:14;0,04;1747381634;114,98;0,0788;{};com_dimmer
1747381694;5,73;2025-05-16 07:48:14;0,04;1747381694;135,93;0,0956;{};com_dimmer
1747381754;5,27;2025-05-16 07:49:14;0,04;1747381754;120,91;0,0878;{};com_dimmer
1747381814;5,7;2025-05-16 07:50:14;0,05;1747381814;116,94;0,0951;{};com_dimmer
1747381874;6,26;2025-05-16 07:51:14;0,05;1747381874;123,69;0,1043;{};com_dimmer
1747381934;6,06;2025-05-16 07:52:14;0,05;1747381934;112,92;0,101;{};com_dimmer
1747381994;5,82;2025-05-16 07:53:14;0,05;1747381994;115,17;0,097;{};com_dimmer
1747382054;6,32;2025-05-16 07:54:14;0,05;1747382054;122,24;0,1054;{};com_dimmer
1747382114;5,52;2025-05-16 07:55:14;0,04;1747382114;123,62;0,092;{};com_dimmer
1747382174;4,94;2025-05-16 07:56:14;0,04;1747382174;116,83;0,0824;{};com_dimmer
1747382234;5,99;2025-05-16 07:57:14;0,05;1747382234;122,26;0,0998;{};com_dimmer
1747382294;4,83;2025-05-16 07:58:14;0,04;1747382294;118,33;0,0805;{};com_dimmer
1747382354;5,61;2025-05-16 07:59:14;0,05;1747382354;117,45;0,0935;{};com_dimmer
1747382414;5,13;2025-05-16 08:00:14;0,04;1747382414;121,32;0,0856;{};com_dimmer
1747382474;5,99;2025-05-16 08:01:14;0,05;1747382474;120,07;0,0999;{};com_dimmer
1747382534;5,78;2025-05-16 08:02:14;0,05;1747382534;117,47;0,0964;{};com_dimmer
1747382594;4,68;2025-05-16 08:03:14;0,04;1747382594;115,19;0,078;{};com_dimmer
1747382654;6,63;2025-05-16 08:04:14;0,05;1747382654;124,81;0,1105;{};com_dimmer
1747382714;6,35;2025-05-16 08:05:14;0,05;1747382714;122,19;0,1058;{};com_dimmer
1747382774;6,22;2025-05-16 08:06:14;0,05;1747382774;124,0;0,1037;{};com_dimmer
1747382834;5,32;2025-05-16 08:07:14;0,04;1747382834;124,42;0,0887;{};com_dimmer
1747382894;6,22;2025-05-16 08:08:14;0,05;1747382894;122,15;0,1037;{};com_dimmer
1747382954;4,95;2025-05-16 08:09:14;0,04;1747382954;117,11;0,0826;{};com_dimmer
1747383014;6,63;2025-05-16 08:10:14;0,05;1747383014;140,43;0,1105;{};com_dimmer
1747383074;5,61;2025-05-16 08:11:14;0,04;1747383074;136,69;0,0936;{};com_dimmer
1747383134;5,99;2025-05-16 08:12:14;0,05;1747383134;132,05;0,0998;{};com_dimmer
1747383194;5,27;2025-05-16 08:13:14;0,04;1747383194;119,41;0,0878;{};com_dimmer
1747383253;5,34;2025-05-16 08:14:13;0,04;1747383253;119,98;0,089;{};com_dimmer
1747383313;6,04;2025-05-16 08:15:13;0,04;1747383313;135,52;0,1007;{};com_dimmer
1747383373;6,04;2025-05-16 08:16:13;0,05;1747383373;133,39;0,1007;{};com_dimmer
1747383433;5,71;2025-05-16 08:17:13;0,04;1747383433;137,72;0,0952;{};com_dimmer
1747383493;6,03;2025-05-16 08:18:13;0,05;1747383493;132,9;0,1006;{};com_dimmer
1747383553;4,75;2025-05-16 08:19:13;0,04;1747383553;116,14;0,0792;{};com_dimmer
1747383613;4,52;2025-05-16 08:20:13;0,04;1747383613;115,25;0,0754;{};com_dimmer
1747383673;4,96;2025-05-16 08:21:13;0,04;1747383673;119,96;0,0826;{};com_dimmer
1747383733;4,71;2025-05-16 08:22:13;0,04;1747383733;118,39;0,0784;{};com_dimmer
1747383793;5,31;2025-05-16 08:23:13;0,04;1747383793;125,61;0,0885;{};com_dimmer
1747383853;4,67;2025-05-16 08:24:13;0,04;1747383853;115,97;0,0778;{};com_dimmer
1747383913;4,91;2025-05-16 08:25:13;0,04;1747383913;120,31;0,0818;{};com_dimmer
1747383973;4,75;2025-05-16 08:26:13;0,04;1747383973;121,72;0,0792;{};com_dimmer
1747384033;4,78;2025-05-16 08:27:13;0,03;1747384033;139,42;0,0796;{};com_dimmer
1747384093;4,59;2025-05-16 08:28:13;0,04;1747384093;115,25;0,0765;{};com_dimmer
1747384153;4,81;2025-05-16 08:29:13;0,04;1747384153;115,13;0,0802;{};com_dimmer
1747384213;4,01;2025-05-16 08:30:13;0,04;1747384213;111,37;0,0668;{};com_dimmer
1747384273;4,63;2025-05-16 08:31:13;0,04;1747384273;112,02;0,0771;{};com_dimmer
1747384333;4,57;2025-05-16 08:32:13;0,04;1747384333;122,04;0,0762;{};com_dimmer
1747384393;4,18;2025-05-16 08:33:13;0,03;1747384393;120,03;0,0696;{};com_dimmer
1747384453;4,09;2025-05-16 08:34:13;0,03;1747384453;119,67;0,0681;{};com_dimmer
1747384513;3,89;2025-05-16 08:35:13;0,03;1747384513;115,97;0,0649;{};com_dimmer
1747384573;4,42;2025-05-16 08:36:13;0,04;1747384573;114,69;0,0736;{};com_dimmer
1747384633;5,04;2025-05-16 08:37:13;0,04;1747384633;135,67;0,084;{};com_dimmer
1747384693;4,51;2025-05-16 08:38:13;0,04;1747384693;112,77;0,0751;{};com_dimmer
1747384753;4,27;2025-05-16 08:39:13;0,04;1747384753;117,79;0,0712;{};com_dimmer
1747384813;5,63;2025-05-16 08:40:13;0,05;1747384813;121,32;0,0938;{};com_dimmer
1747384873;4,47;2025-05-16 08:41:13;0,04;1747384873;123,55;0,0744;{};com_dimmer
1747384933;4,62;2025-05-16 08:42:13;0,04;1747384933;112,32;0,0771;{};com_dimmer
1747384993;4,54;2025-05-16 08:43:13;0,04;1747384993;117,26;0,0756;{};com_dimmer
